Track name, Artist name, Album, Playlist name, Type, ISRC
Meridian,ODESZA,A Moment Apart (Deluxe Edition),Favorite Songs,Favorite,GBCFB1700214
Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),Favorite Songs,Favorite,USFM91300095
Run It (feat. Annika Wells),Midnight Kids,The Lost Youth,Favorite Songs,Favorite,USRC11903104
Looking Too Closely,Fink,Hard Believer,Favorite Songs,Favorite,GBCFB1400808
Something Good,alt-J,An Awesome Wave (Deluxe Version),Favorite Songs,Favorite,GBZUZ1200030
Taro,alt-J,An Awesome Wave (Deluxe Version),Favorite Songs,Favorite,GBZUZ1200037
More Than You Know,Axwell /\ Ingrosso,More Than You Know,Favorite Songs,Favorite,GBUM71701735
Catalyst,Solar Fields,Mirror's Edge Catalyst (EA Games Soundtrack),Favorite Songs,Favorite,CAN111600282
Forever Wavvy,Broke For Free,BFF,Favorite Songs,Favorite,SE5VF1902404
Calling,Tobu,Calling,Favorite Songs,Favorite,GBSMU4647450
Roses,The Chainsmokers,Roses,Favorite Songs,Favorite,USQX91500801
Say My Name (feat. Zyra),ODESZA,In Return,Favorite Songs,Favorite,GBCFB1404201
Notions,Hollow Coves,Moments,Favorite Songs,Favorite,CAN111900229
Charlie Brown,Coldplay,Mylo Xyloto,Favorite Songs,Favorite,GBAYE1101180
On & On,Cartoon,On & On,Favorite Songs,Favorite,GB2LD0902016
It’s Only (feat. Zyra) - ODESZA VIP Remix,ODESZA,A Moment Apart (Deluxe Edition),Favorite Songs,Favorite,GBCFB1800360
1000 Nights,FRENSHIP,1000 Nights,Favorite Songs,Favorite,USSM11605357
I Took A Pill In Ibiza,Mike Posner,"At Night, Alone.",Favorite Songs,Favorite,USUM71503636
Falls (Reprise) (feat. Sasha Alex Sloan),ODESZA,A Moment Apart (Deluxe Edition),Favorite Songs,Favorite,GBCFB1800361
Coins in a Fountain,Passenger,Whispers (Deluxe),Favorite Songs,Favorite,GBMQN1400001
Santa Monica Dream,Angus & Julia Stone,Down the Way,Favorite Songs,Favorite,AUAP10900004
Crystals,Of Monsters and Men,Beneath The Skin,Favorite Songs,Favorite,USUG11500395
Dawn (feat. ROBB),filous,Dawn EP,Favorite Songs,Favorite,USUS11203408
World Away,Kasbo,World Away,Favorite Songs,Favorite,QMLD61404077
All Your Days,Shallou,All Your Days,Favorite Songs,Favorite,GB45A1901435
We Stayed Up All Night,Tourist,We Stayed Up All Night,Favorite Songs,Favorite,QMUY41700064
HEART ATTACK (feat. lau.ra),BRONSON,HEART ATTACK / VAULTS,Favorite Songs,Favorite,GBCFB2000189
IPlayYouListen - Live,ODESZA,In Return (Deluxe Edition),Favorite Songs,Favorite,GBCFB1501708
Indian Summer,Jai Wolf,Indian Summer,Favorite Songs,Favorite,USQY51566563
Daydreamer,AURORA,A Different Kind Of Human – Step 2,Favorite Songs,Favorite,GBUM71808077
Undertow - Classixx & Turbotito Alternate Version,Panama,Hope For Something EP (Remixes),Favorite Songs,Favorite,QMCE31791346
Night Out,LiQWYD,Night Out,Favorite Songs,Favorite,SE6A91852724
Closer,Lemaitre,Chapter One,Favorite Songs,Favorite,USUM71508235
BOOM,X Ambassadors,ORION,Favorite Songs,Favorite,USUM71900447
Sunshine Reggae,Laid Back,Good Vibes - The Very Best of Laid Back,Favorite Songs,Favorite,DKABA0002801
Warm with You,Hayden Calnin,Warm with You,Favorite Songs,Favorite,CAN111900173
Mess Is Mine,Vance Joy,Dream Your Life Away,Favorite Songs,Favorite,USAT21402865
Burden,Subtact,Burden,Favorite Songs,Favorite,TCACH1507093
Blinding Lights,The Weeknd,After Hours,Favorite Songs,Favorite,USUG11904206
Don't Be so Serious,Low Roar,"Once in a Long, Long While...",Favorite Songs,Favorite,QM5L61700001
Death Stranding,CHVRCHES,Death Stranding,Favorite Songs,Favorite,GBZN81900001
Tucana - Instrumental,Mt. Wolf,Aetherlight (Instrumental),Favorite Songs,Favorite,GB5UQ1700191
The Breach,Dustin Tebbutt,The Breach EP,Favorite Songs,Favorite,AUZN31300204
Breathe (feat. Ratfoot) - MYKOOL Remix,Ben Lepper,Breathe (The Remixes),Favorite Songs,Favorite,QZ5FN1741099
Asleep,Nomyn,Asleep,Favorite Songs,Favorite,QZBRF1819953
Hiraeth,Aurai,Daybreak,Favorite Songs,Favorite,QM4DW1852445
Ouroboros,Family and Friends,Felix Culpa,Favorite Songs,Favorite,GBKPL1804277
Lost & Found,The Midnight,Lost & Found,Favorite Songs,Favorite,TCACK1533486
I Miss You,Brandt,I Miss You,Favorite Songs,Favorite,USA2P1939215
Firestarter,Torre Florim,Firestarter,Favorite Songs,Favorite,NLS241201695
Intro,The xx,xx,Favorite Songs,Favorite,GBBKS0900196
Enter Sandman,Metallica,Metallica,Favorite Songs,Favorite,GBF089190013
Calling Me,Ooyy,Calling Me,Favorite Songs,Favorite,SE5Q51903522
